Manhattan Rolling Sales.  All Sales From October 2021 - September 2022																			 PTS Sales Data as of 10/11/2022 	
For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.                   Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.																		  	  	
Building Class Category is based on Building Class at Time of Sale.																				
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.																				
BOROUGH	NEIGHBORHOOD	BUILDING CLASS CATEGORY	TAX CLASS AT PRESENT	BLOCK	LOT	EASEMENT	BUILDING CLASS AT PRESENT	ADDRESS	APARTMENT NUMBER	ZIP CODE	RESIDENTIAL UNITS	COMMERCIAL UNITS	TOTAL UNITS	LAND SQUARE FEET	GROSS SQUARE FEET	YEAR BUILT	TAX CLASS AT TIME OF SALE	BUILDING CLASS AT TIME OF SALE	 SALE PRICE 	SALE DATE
1	ALPHABET CITY	08 RENTALS - ELEVATOR APARTMENTS	2	400	1		D6	58-72 AVENUE A		10009	76	8	84	19,266	79,956	1940	2	D6	64,000,000	12-09-2022
1	ALPHABET CITY	08 RENTALS - ELEVATOR APARTMENTS	2	402	23		D3	156 EAST 7TH STREET		10009	32	1	33	6,815	20,382	1915	2	D3	22,000,000	23-08-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	373	46		C6	317 EAST THIRD STREET, 19/20		10009						1925	2	C6	0	27-10-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	373	49		C6	311 EAST 3 ST, 22		10009						1920	2	C6	525,000	25-01-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	373	49		C6	311 EAST 3 STREET, 28		10009						1920	2	C6	455,000	29-04-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	373	49		C6	311 EAST 3RD STREET, 10		10009						1920	2	C6	495,000	19-08-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	373	49		C6	311 EAST 3RD STREET, 16		10009						1920	2	C6	550,000	07-07-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	373	49		C6	311 EAST 3RD STREET, 17		10009						1920	2	C6	444,000	29-12-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	373	49		C6	311 EAST 3RD STREET, 18		10009						1920	2	C6	499,000	10-11-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	373	49		C6	311 EAST 3RD STREET, 2		10009						1920	2	C6	370,000	02-09-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	373	49		C6	311 EAST 3RD STREET, 31		10009						1920	2	C6	552,000	25-05-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	374	8		C6	702 EAST 5TH STREET, 2E		10009						1900	2	C6	360,000	10-01-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	374	8		C6	702 EAST 5TH STREET, 3E		10009						1900	2	C6	399,000	14-12-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	376	5		C6	98-100 AVENUE C, 1A		10009						1900	2	C6	500,000	05-11-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	376	16		C6	248 EAST 7TH STREET, 19-20		10009						1928	2	C6	1,200,000	14-03-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	377	55		C6	265 EAST 7TH STREET, 1		10009						1900	2	C6	1,077,000	12-07-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	377	67		C6	241 EAST 7TH STREET, 2A		10009						1900	2	C6	985,000	15-03-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	377	67		C6	241 EAST 7TH STREET, 5C		10009						1900	2	C6	950,000	19-01-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	379	15		C6	414 EAST 10TH STREET, 3C		10009						1930	2	C6	335,000	29-06-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	379	15		C6	414 EAST 10TH STREET, 5A		10009						1930	2	C6	540,000	06-10-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	386	20		C6	268 E 4TH STREET, 2CD		10009						1923	2	C6	700,000	30-11-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	386	20		C6	268 EAST 4 STREET, 1CD		10009						1923	2	C6	705,000	01-04-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	386	20		C6	268 EAST 4TH STREET, 5CD		10009						1923	2	C6	705,000	31-05-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	387	37		C6	55 AVENUE C, 10		10009						1900	2	C6	775,000	24-06-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	387	37		C6	55 AVENUE C, 19		10009						1900	2	C6	739,000	07-10-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	389	20		C6	204 EAST 7TH STREET, 17/19		10009						1900	2	C6	940,000	08-11-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	389	21		C6	206 EAST 7TH STREET, 19/20		10009						1900	2	C6	1,015,000	14-02-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	389	21		C6	206 EAST 7TH STREET, 3		10009						1900	2	C6	345,000	08-11-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	389	30		C6	224 EAST 7TH STREET, 13		10009						1950	2	C6	1,040,000	15-08-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	389	30		C6	224 EAST 7TH STREET, 6		10009						1950	2	C6	915,000	21-01-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	389	48		C6	625 EAST 6TH STREET, 5		10009						1910	2	C6	499,000	10-05-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	389	50		C6	621 EAST 6TH STREET, 6		10009						1920	2	C6	680,000	08-06-2022
